Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,0.468,83,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1834466629,class negotiator.group2.Group2@676671115,class negotiator.group4.Group4@827481034,0.9274,0.80075,1
2,0.554,127,Yes,No,3,0.70046,0.77684,0.22862,0.33453,2.24023,class negotiator.group1.Group1@2050823403,class negotiator.group4.Group4@2139475878,class negotiator.group2.Group2@1242277332,0.76293,0.77684,0.70046
3,0.322,132,Yes,No,3,0.81152,0.87081,0.05959,0.15215,2.51885,class negotiator.group4.Group4@1266177679,class negotiator.group1.Group1@1973717520,class negotiator.group2.Group2@836659873,0.83653,0.81152,0.87081
4,0.155,87,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group4.Group4@1561763545,class negotiator.group2.Group2@1501055758,class negotiator.group1.Group1@628853248,0.9274,0.80075,1
5,0.124,75,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group2.Group2@632875791,class negotiator.group4.Group4@1300652349,class negotiator.group1.Group1@1653708319,0.8385,0.89365,1
6,0.205,85,Yes,No,3,0.79591,0.95722,0,0.11308,2.69407,class negotiator.group2.Group2@2122296094,class negotiator.group1.Group1@351475706,class negotiator.group4.Group4@236815703,0.79591,0.95722,0.94094
1,0.137,85,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@2145822900,class negotiator.group2.Group2@2070989971,class negotiator.group4.Group4@1112624013,0.9274,0.80075,1
2,0.164,103,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group1.Group1@1789151796,class negotiator.group4.Group4@1541631950,class negotiator.group2.Group2@1500946299,0.86258,0.88755,1
3,0.252,109,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group4.Group4@1258593921,class negotiator.group1.Group1@330194916,class negotiator.group2.Group2@410197812,0.8385,0.89365,1
4,0.241,84,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group4.Group4@1160189496,class negotiator.group2.Group2@700280707,class negotiator.group1.Group1@80547150,0.90518,0.82397,0.94094
5,0.241,74,Yes,No,3,0.8385,1,0,0.02484,2.73215,class negotiator.group2.Group2@1525175535,class negotiator.group4.Group4@210606504,class negotiator.group1.Group1@1111094077,0.8385,0.89365,1
6,0.201,83,Yes,No,3,0.79591,0.95722,0,0.11308,2.69407,class negotiator.group2.Group2@1784015172,class negotiator.group1.Group1@1996522561,class negotiator.group4.Group4@2000332879,0.79591,0.95722,0.94094
1,0.233,79,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@162085094,class negotiator.group2.Group2@1373187999,class negotiator.group4.Group4@284113320,0.90518,0.82397,0.94094
2,0.306,105,Yes,No,3,0.86073,0.94094,0.0452,0.06152,2.67209,class negotiator.group1.Group1@250677942,class negotiator.group4.Group4@382238980,class negotiator.group2.Group2@294438896,0.86073,0.87042,0.94094
3,0.307,126,Yes,No,3,0.7746,0.92581,0.0715,0.11509,2.58754,class negotiator.group4.Group4@751527145,class negotiator.group1.Group1@2038810850,class negotiator.group2.Group2@1213765661,0.7746,0.88713,0.92581
4,0.27,86,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group4.Group4@1231445112,class negotiator.group2.Group2@264877812,class negotiator.group1.Group1@293651638,0.9274,0.80075,1
5,0.243,89,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group2.Group2@778784992,class negotiator.group4.Group4@1333207698,class negotiator.group1.Group1@108652389,0.77368,0.98045,1
6,0.212,78,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group2.Group2@377710961,class negotiator.group1.Group1@1851326757,class negotiator.group4.Group4@2012587871,0.84036,0.91077,0.94094
1,0.26,96,Yes,No,3,0.76507,0.88098,0.0829,0.17897,2.51685,class negotiator.group1.Group1@455805582,class negotiator.group2.Group2@694959953,class negotiator.group4.Group4@2062706571,0.88098,0.76507,0.87081
2,0.279,106,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group1.Group1@1705813821,class negotiator.group4.Group4@1674237887,class negotiator.group2.Group2@500916716,0.86258,0.88755,1
3,0.323,129,Yes,No,3,0.8143,0.92987,0.08113,0.10019,2.57891,class negotiator.group4.Group4@559793546,class negotiator.group1.Group1@915102362,class negotiator.group2.Group2@1651265861,0.8143,0.83474,0.92987
4,0.23,82,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group4.Group4@980311629,class negotiator.group2.Group2@1281304745,class negotiator.group1.Group1@1818075761,0.9274,0.80075,1
5,0.238,79,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group2.Group2@1528097161,class negotiator.group4.Group4@1413547687,class negotiator.group1.Group1@934716115,0.86258,0.88755,1
6,0.216,77,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group2.Group2@1946685726,class negotiator.group1.Group1@1196111706,class negotiator.group4.Group4@1016141043,0.84036,0.91077,0.94094
1,0.275,96,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group1.Group1@1335707703,class negotiator.group2.Group2@994814565,class negotiator.group4.Group4@145892657,0.9274,0.80075,1
2,0.437,127,Yes,No,3,0.77171,0.89832,0.05959,0.15832,2.54084,class negotiator.group1.Group1@371506047,class negotiator.group4.Group4@1503928724,class negotiator.group2.Group2@660391566,0.77171,0.89832,0.87081
3,0.177,102,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group4.Group4@830846449,class negotiator.group1.Group1@1128477083,class negotiator.group2.Group2@905836861,0.86258,0.88755,1
4,0.252,97,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group4.Group4@1575516470,class negotiator.group2.Group2@1149023757,class negotiator.group1.Group1@1690344183,0.86258,0.88755,1
5,0.277,79,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group2.Group2@206524443,class negotiator.group4.Group4@1563114858,class negotiator.group1.Group1@1716534148,0.86258,0.88755,1
6,0.221,88,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group2.Group2@560019226,class negotiator.group1.Group1@121159690,class negotiator.group4.Group4@2075682957,0.77368,0.98045,1
