Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,0.309,105,Yes,No,3,0.57273,0.86843,0.07359,0.28689,2.1789,class negotiator.group1.Group1@547750361,class negotiator.group2.Group2@778173373,class negotiator.group8.Group8@710830761,0.86843,0.73774,0.57273
2,0.355,113,Yes,No,3,0.64771,0.86774,0.07177,0.29946,2.19104,class negotiator.group1.Group1@1868362118,class negotiator.group8.Group8@2145684861,class negotiator.group2.Group2@1593392431,0.86774,0.67559,0.64771
3,0.337,99,Yes,No,3,0.75214,0.93824,0,0,2.45923,class negotiator.group8.Group8@128655227,class negotiator.group1.Group1@259198665,class negotiator.group2.Group2@1411900735,0.76884,0.93824,0.75214
4,0.33,101,Yes,No,3,0.62162,0.91733,0,0.3248,2.23943,class negotiator.group8.Group8@1134602961,class negotiator.group2.Group2@481244441,class negotiator.group1.Group1@188577027,0.62162,0.70048,0.91733
5,0.315,110,Yes,No,3,0.59858,0.85087,0.05459,0.36925,2.11234,class negotiator.group2.Group2@1624799046,class negotiator.group8.Group8@644394926,class negotiator.group1.Group1@1124749703,0.66289,0.59858,0.85087
6,0.306,94,Yes,No,3,0.69426,0.86269,0.06793,0.09887,2.29901,class negotiator.group2.Group2@603955592,class negotiator.group1.Group1@4096246,class negotiator.group8.Group8@1665686144,0.74206,0.86269,0.69426
1,0.346,99,Yes,No,3,0.59164,0.86321,0.07722,0.26125,2.20983,class negotiator.group1.Group1@1927260423,class negotiator.group2.Group2@754099509,class negotiator.group8.Group8@1488955757,0.86321,0.75497,0.59164
2,0.318,111,Yes,No,3,0.74065,0.86796,0,0.22886,2.42,class negotiator.group1.Group1@2038588576,class negotiator.group8.Group8@1981447430,class negotiator.group2.Group2@1333310973,0.86796,0.74065,0.81139
3,0.387,103,Yes,No,3,0.75214,0.93824,0,0,2.45923,class negotiator.group8.Group8@1781107134,class negotiator.group1.Group1@6575935,class negotiator.group2.Group2@632547448,0.76884,0.93824,0.75214
4,0.226,99,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group8.Group8@804152942,class negotiator.group2.Group2@153906772,class negotiator.group1.Group1@735256033,0.79516,0.78132,0.86061
5,0.226,96,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group2.Group2@295289035,class negotiator.group8.Group8@1301813632,class negotiator.group1.Group1@665616553,0.79516,0.78132,0.86061
6,0.3,93,Yes,No,3,0.69426,0.86269,0.06793,0.09887,2.29901,class negotiator.group2.Group2@337882536,class negotiator.group1.Group1@1273215103,class negotiator.group8.Group8@1178266778,0.74206,0.86269,0.69426
1,0.28,101,Yes,No,3,0.74065,0.86796,0,0.22886,2.42,class negotiator.group1.Group1@97551676,class negotiator.group2.Group2@202843843,class negotiator.group8.Group8@1524717438,0.86796,0.74065,0.81139
2,0.328,98,Yes,No,3,0.74065,0.86796,0,0.22886,2.42,class negotiator.group1.Group1@1261321860,class negotiator.group8.Group8@1247198136,class negotiator.group2.Group2@2135076111,0.86796,0.74065,0.81139
3,0.467,98,Yes,No,3,0.711,0.8574,0,0.10119,2.33945,class negotiator.group8.Group8@793272126,class negotiator.group1.Group1@354983501,class negotiator.group2.Group2@1784445995,0.711,0.8574,0.77105
4,0.303,109,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group8.Group8@1871546,class negotiator.group2.Group2@1841336360,class negotiator.group1.Group1@1019982123,0.79516,0.78132,0.86061
5,0.34,104,Yes,No,3,0.63158,0.88821,0,0.33973,2.23514,class negotiator.group2.Group2@905920445,class negotiator.group8.Group8@1366429414,class negotiator.group1.Group1@945456432,0.71535,0.63158,0.88821
6,0.32,94,Yes,No,3,0.62462,0.85357,0.10843,0.15536,2.2205,class negotiator.group2.Group2@1509505529,class negotiator.group1.Group1@355985324,class negotiator.group8.Group8@1416875730,0.74231,0.85357,0.62462
1,0.264,97,Yes,No,3,0.71956,0.87457,0.04883,0.24387,2.32455,class negotiator.group1.Group1@946643561,class negotiator.group2.Group2@684356204,class negotiator.group8.Group8@48953950,0.87457,0.71956,0.73042
2,0.28,98,Yes,No,3,0.71956,0.87457,0.04883,0.24387,2.32455,class negotiator.group1.Group1@1218814351,class negotiator.group8.Group8@352795928,class negotiator.group2.Group2@1847944390,0.87457,0.71956,0.73042
3,0.292,102,Yes,No,3,0.711,0.8574,0,0.10119,2.33945,class negotiator.group8.Group8@994593622,class negotiator.group1.Group1@1585720425,class negotiator.group2.Group2@1925653852,0.711,0.8574,0.77105
4,0.299,120,Yes,No,3,0.63158,0.88821,0,0.33973,2.23514,class negotiator.group8.Group8@922844310,class negotiator.group2.Group2@1323992027,class negotiator.group1.Group1@837945611,0.71535,0.63158,0.88821
5,0.281,107,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group2.Group2@2052339628,class negotiator.group8.Group8@1175257532,class negotiator.group1.Group1@1558423293,0.79516,0.78132,0.86061
6,0.306,98,Yes,No,3,0.62195,0.87649,0,0.16453,2.34669,class negotiator.group2.Group2@2105034299,class negotiator.group1.Group1@650835823,class negotiator.group8.Group8@149164779,0.84826,0.87649,0.62195
1,0.281,110,Yes,No,3,0.69426,0.90088,0,0.24579,2.33432,class negotiator.group1.Group1@1232177476,class negotiator.group2.Group2@1988581327,class negotiator.group8.Group8@126334975,0.90088,0.73918,0.69426
2,0.308,112,Yes,No,3,0.53682,0.858,0.16785,0.417,2.07768,class negotiator.group1.Group1@802987694,class negotiator.group8.Group8@1780619704,class negotiator.group2.Group2@651624988,0.858,0.53682,0.68286
3,0.27,96,Yes,No,3,0.711,0.8574,0,0.10119,2.33945,class negotiator.group8.Group8@475357558,class negotiator.group1.Group1@1463264700,class negotiator.group2.Group2@765630779,0.711,0.8574,0.77105
4,0.296,120,Yes,No,3,0.57896,0.88702,0.0602,0.40592,2.10256,class negotiator.group8.Group8@863746417,class negotiator.group2.Group2@76689593,class negotiator.group1.Group1@1851949010,0.63658,0.57896,0.88702
5,0.28,102,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group2.Group2@1462786148,class negotiator.group8.Group8@963564482,class negotiator.group1.Group1@745286574,0.79516,0.78132,0.86061
6,0.268,89,Yes,No,3,0.75214,0.93824,0,0,2.45923,class negotiator.group2.Group2@1368214814,class negotiator.group1.Group1@78371891,class negotiator.group8.Group8@1268051879,0.76884,0.93824,0.75214
1,0.266,97,Yes,No,3,0.71956,0.87457,0.04883,0.24387,2.32455,class negotiator.group1.Group1@107519008,class negotiator.group2.Group2@1026999374,class negotiator.group8.Group8@1730600351,0.87457,0.71956,0.73042
2,0.282,97,Yes,No,3,0.71959,0.85787,0.05694,0.23752,2.30348,class negotiator.group1.Group1@195297035,class negotiator.group8.Group8@1231616963,class negotiator.group2.Group2@1115111956,0.85787,0.71959,0.72602
3,0.27,96,Yes,No,3,0.711,0.8574,0,0.10119,2.33945,class negotiator.group8.Group8@325891552,class negotiator.group1.Group1@128142113,class negotiator.group2.Group2@161156853,0.711,0.8574,0.77105
4,0.286,103,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group8.Group8@1904511536,class negotiator.group2.Group2@120713813,class negotiator.group1.Group1@441863121,0.79516,0.78132,0.86061
5,0.27,95,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group2.Group2@1265308360,class negotiator.group8.Group8@518767775,class negotiator.group1.Group1@381697613,0.79516,0.78132,0.86061
6,0.296,94,Yes,No,3,0.62462,0.85357,0.10843,0.15536,2.2205,class negotiator.group2.Group2@1054926727,class negotiator.group1.Group1@755916737,class negotiator.group8.Group8@1837218243,0.74231,0.85357,0.62462
1,0.29,109,Yes,No,3,0.69426,0.90088,0,0.24579,2.33432,class negotiator.group1.Group1@2049228904,class negotiator.group2.Group2@1128385652,class negotiator.group8.Group8@477000586,0.90088,0.73918,0.69426
2,0.294,112,Yes,No,3,0.71956,0.87457,0.04883,0.24387,2.32455,class negotiator.group1.Group1@2093063781,class negotiator.group8.Group8@549070357,class negotiator.group2.Group2@1834318874,0.87457,0.71956,0.73042
3,0.293,93,Yes,No,3,0.711,0.8574,0,0.10119,2.33945,class negotiator.group8.Group8@46702617,class negotiator.group1.Group1@1913267347,class negotiator.group2.Group2@66141769,0.711,0.8574,0.77105
4,0.254,98,Yes,No,3,0.64794,0.88118,0,0.28082,2.2492,class negotiator.group8.Group8@1166161793,class negotiator.group2.Group2@34447168,class negotiator.group1.Group1@562040110,0.64794,0.72009,0.88118
5,0.285,107,Yes,No,3,0.63158,0.88821,0,0.33973,2.23514,class negotiator.group2.Group2@730426401,class negotiator.group8.Group8@2145614062,class negotiator.group1.Group1@293212109,0.71535,0.63158,0.88821
