Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,0.478,117,Yes,No,3,0.50751,0.93355,0,0.37525,2.05588,class negotiator.group1.Group1@260629338,class negotiator.group2.Group2@196572787,class negotiator.group8.Group8@1320544609,0.93355,0.61482,0.50751
2,0.44,119,Yes,No,3,0.5892,0.8598,0,0.30945,2.05386,class negotiator.group1.Group1@2133976373,class negotiator.group8.Group8@1325727822,class negotiator.group2.Group2@781850158,0.8598,0.60485,0.5892
3,0.399,127,Yes,No,3,0.54856,0.81335,0,0.13557,2.09695,class negotiator.group8.Group8@1133066134,class negotiator.group1.Group1@862026399,class negotiator.group2.Group2@1409354701,0.73504,0.81335,0.54856
4,0.401,114,Yes,No,3,0.55387,0.87572,0.0427,0.32988,2.06553,class negotiator.group8.Group8@718556165,class negotiator.group2.Group2@543943502,class negotiator.group1.Group1@417781854,0.55387,0.63595,0.87572
5,0.454,117,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1155917804,class negotiator.group8.Group8@1280917265,class negotiator.group1.Group1@857185359,0.7397,0.51018,0.87808
6,0.335,122,Yes,No,3,0.67173,0.85342,0,0,2.22013,class negotiator.group2.Group2@488478299,class negotiator.group1.Group1@1991035027,class negotiator.group8.Group8@1938346208,0.69499,0.85342,0.67173
1,0.377,110,Yes,No,3,0.54856,0.8935,0,0.30658,2.09695,class negotiator.group1.Group1@2096291642,class negotiator.group2.Group2@229388721,class negotiator.group8.Group8@492083399,0.8935,0.65489,0.54856
2,0.318,122,Yes,No,3,0.5892,0.8598,0,0.30945,2.05386,class negotiator.group1.Group1@686707805,class negotiator.group8.Group8@1108301173,class negotiator.group2.Group2@784520508,0.8598,0.60485,0.5892
3,0.368,132,Yes,No,3,0.49441,0.84253,0.11764,0.25306,1.8517,class negotiator.group8.Group8@392815235,class negotiator.group1.Group1@1300172943,class negotiator.group2.Group2@1969438888,0.51476,0.84253,0.49441
4,0.468,114,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@1294991373,class negotiator.group2.Group2@353738450,class negotiator.group1.Group1@542842775,0.58123,0.66865,0.87808
5,0.495,118,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1339194676,class negotiator.group8.Group8@45038763,class negotiator.group1.Group1@997572898,0.7397,0.51018,0.87808
6,0.416,126,Yes,No,3,0.48855,0.85387,0.10759,0.24358,1.87685,class negotiator.group2.Group2@1126880892,class negotiator.group1.Group1@525154544,class negotiator.group8.Group8@1694242262,0.53444,0.85387,0.48855
1,0.401,109,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@1905632442,class negotiator.group2.Group2@1679365570,class negotiator.group8.Group8@317012745,0.85345,0.69495,0.67173
2,0.312,119,Yes,No,3,0.56113,0.87987,0,0.35861,2.01793,class negotiator.group1.Group1@380886566,class negotiator.group8.Group8@1247742014,class negotiator.group2.Group2@1724162994,0.87987,0.56113,0.57693
3,0.318,122,Yes,No,3,0.57614,0.86984,0,0.13941,2.04082,class negotiator.group8.Group8@1564668176,class negotiator.group1.Group1@1426609776,class negotiator.group2.Group2@1730460183,0.59484,0.86984,0.57614
4,0.437,122,Yes,No,3,0.47379,0.87684,0.12307,0.38847,1.95927,class negotiator.group8.Group8@2031256549,class negotiator.group2.Group2@1000630994,class negotiator.group1.Group1@1831824408,0.47379,0.60865,0.87684
5,0.495,113,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1947467898,class negotiator.group8.Group8@427079862,class negotiator.group1.Group1@18785200,0.7397,0.51018,0.87808
6,0.391,124,Yes,No,3,0.54856,0.89348,0,0.13557,2.09698,class negotiator.group2.Group2@398934055,class negotiator.group1.Group1@1132762485,class negotiator.group8.Group8@2131309755,0.65493,0.89348,0.54856
1,0.467,129,Yes,No,3,0.61171,0.81383,0,0.17847,2.16011,class negotiator.group1.Group1@201198537,class negotiator.group2.Group2@647345385,class negotiator.group8.Group8@1096659571,0.81383,0.73457,0.61171
2,0.341,119,Yes,No,3,0.57614,0.8862,0,0.34828,2.04081,class negotiator.group1.Group1@2001205775,class negotiator.group8.Group8@203163501,class negotiator.group2.Group2@119916795,0.8862,0.57847,0.57614
3,0.321,120,Yes,No,3,0.50846,0.8525,0.08811,0.20924,1.93789,class negotiator.group8.Group8@726084678,class negotiator.group1.Group1@1662528675,class negotiator.group2.Group2@265513154,0.50846,0.8525,0.57693
4,0.5,118,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@647498707,class negotiator.group2.Group2@875505242,class negotiator.group1.Group1@384854344,0.58123,0.66865,0.87808
5,0.497,122,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group2.Group2@40998444,class negotiator.group8.Group8@1691472674,class negotiator.group1.Group1@696329236,0.58123,0.66865,0.87808
6,0.375,108,Yes,No,3,0.54856,0.89348,0,0.13557,2.09698,class negotiator.group2.Group2@1009689157,class negotiator.group1.Group1@853574426,class negotiator.group8.Group8@1489116839,0.65493,0.89348,0.54856
1,0.429,124,Yes,No,3,0.5355,0.9199,0,0.34602,2.0839,class negotiator.group1.Group1@2026053679,class negotiator.group2.Group2@825661944,class negotiator.group8.Group8@125314199,0.9199,0.6285,0.5355
2,0.336,118,Yes,No,3,0.58752,0.85347,0,0.32016,2.03098,class negotiator.group1.Group1@1334261241,class negotiator.group8.Group8@774157950,class negotiator.group2.Group2@735576859,0.85347,0.58752,0.58999
3,0.307,126,Yes,No,3,0.4948,0.86618,0.10374,0.23519,1.90992,class negotiator.group8.Group8@1833096811,class negotiator.group1.Group1@463212231,class negotiator.group2.Group2@276876428,0.4948,0.86618,0.54894
4,0.465,116,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@2066470236,class negotiator.group2.Group2@10593756,class negotiator.group1.Group1@2066774329,0.58123,0.66865,0.87808
5,0.461,115,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1841446527,class negotiator.group8.Group8@1214678958,class negotiator.group1.Group1@1172587579,0.7397,0.51018,0.87808
6,0.392,126,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group2.Group2@1038418959,class negotiator.group1.Group1@1101587466,class negotiator.group8.Group8@1032802406,0.62854,0.91987,0.5355
1,0.419,117,Yes,No,3,0.5355,0.9199,0,0.34602,2.0839,class negotiator.group1.Group1@1512906352,class negotiator.group2.Group2@1333640262,class negotiator.group8.Group8@1232308503,0.9199,0.6285,0.5355
2,0.328,118,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@247004223,class negotiator.group8.Group8@1020574982,class negotiator.group2.Group2@518633814,0.85345,0.69495,0.67173
3,0.309,126,Yes,No,3,0.54894,0.86618,0.03396,0.17225,1.98997,class negotiator.group8.Group8@1267183789,class negotiator.group1.Group1@35120358,class negotiator.group2.Group2@456279343,0.57486,0.86618,0.54894
4,0.479,113,Yes,No,3,0.55387,0.87572,0.0427,0.32988,2.06553,class negotiator.group8.Group8@1212316694,class negotiator.group2.Group2@1043775339,class negotiator.group1.Group1@54217887,0.55387,0.63595,0.87572
5,0.498,121,Yes,No,3,0.48935,0.87997,0,0.43162,1.96239,class negotiator.group2.Group2@170490602,class negotiator.group8.Group8@1364198773,class negotiator.group1.Group1@1519789523,0.59307,0.48935,0.87997
6,0.396,132,Yes,No,3,0.62759,0.75335,0.04265,0.12731,2.09331,class negotiator.group2.Group2@59819434,class negotiator.group1.Group1@1118769432,class negotiator.group8.Group8@319152021,0.62759,0.75335,0.71237
1,0.419,124,Yes,No,3,0.54815,0.89985,0,0.3749,2.01279,class negotiator.group1.Group1@2018957467,class negotiator.group2.Group2@2104422318,class negotiator.group8.Group8@1207113418,0.89985,0.56479,0.54815
2,0.328,117,Yes,No,3,0.49742,0.85983,0,0.40082,1.94682,class negotiator.group1.Group1@2050457814,class negotiator.group8.Group8@887819531,class negotiator.group2.Group2@1056085927,0.85983,0.49742,0.58958
3,0.315,133,Yes,No,3,0.44106,0.75243,0.16522,0.27858,1.81107,class negotiator.group8.Group8@1642628085,class negotiator.group1.Group1@664772142,class negotiator.group2.Group2@1274043523,0.44106,0.75243,0.61757
4,0.45,112,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@1637201397,class negotiator.group2.Group2@1153918233,class negotiator.group1.Group1@536018241,0.58123,0.66865,0.87808
5,0.419,114,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1445969528,class negotiator.group8.Group8@450466645,class negotiator.group1.Group1@1707721402,0.7397,0.51018,0.87808
6,0.433,123,Yes,No,3,0.54856,0.89348,0,0.13557,2.09698,class negotiator.group2.Group2@1842946999,class negotiator.group1.Group1@1177455626,class negotiator.group8.Group8@272366753,0.65493,0.89348,0.54856
1,0.395,123,Yes,No,3,0.57614,0.8862,0,0.34828,2.04081,class negotiator.group1.Group1@1003237390,class negotiator.group2.Group2@531392603,class negotiator.group8.Group8@768665976,0.8862,0.57847,0.57614
2,0.331,119,Yes,No,3,0.5892,0.8598,0,0.30945,2.05386,class negotiator.group1.Group1@1656870551,class negotiator.group8.Group8@953669249,class negotiator.group2.Group2@1153798000,0.8598,0.60485,0.5892
3,0.306,115,Yes,No,3,0.53488,0.85342,0.11124,0.16011,2.06002,class negotiator.group8.Group8@1853105593,class negotiator.group1.Group1@40706958,class negotiator.group2.Group2@76058268,0.53488,0.85342,0.67173
4,0.491,120,Yes,No,3,0.48014,0.87808,0.1128,0.3793,1.97683,class negotiator.group8.Group8@1826504562,class negotiator.group2.Group2@600348349,class negotiator.group1.Group1@1213374489,0.48014,0.61861,0.87808
5,0.499,119,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group2.Group2@149830625,class negotiator.group8.Group8@366391329,class negotiator.group1.Group1@1917628760,0.58123,0.66865,0.87808
6,0.418,116,Yes,No,3,0.54856,0.89348,0,0.13557,2.09698,class negotiator.group2.Group2@801346912,class negotiator.group1.Group1@1451987530,class negotiator.group8.Group8@1987868418,0.65493,0.89348,0.54856
1,0.48,122,Yes,No,3,0.47549,0.88028,0,0.32739,2.02389,class negotiator.group1.Group1@1630396132,class negotiator.group2.Group2@1383477044,class negotiator.group8.Group8@1483079410,0.88028,0.66812,0.47549
2,0.363,120,Yes,No,3,0.48009,0.8535,0,0.40559,2.0068,class negotiator.group1.Group1@1303664283,class negotiator.group8.Group8@1113684791,class negotiator.group2.Group2@562951104,0.8535,0.48009,0.67322
3,0.325,121,Yes,No,3,0.67173,0.85342,0,0,2.22013,class negotiator.group8.Group8@1449663341,class negotiator.group1.Group1@965185461,class negotiator.group2.Group2@1886843761,0.69499,0.85342,0.67173
4,0.47,117,Yes,No,3,0.54754,0.87808,0.06032,0.34562,2.04423,class negotiator.group8.Group8@1051401548,class negotiator.group2.Group2@680446599,class negotiator.group1.Group1@762384900,0.54754,0.61861,0.87808
5,0.474,115,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@1784381856,class negotiator.group8.Group8@217882842,class negotiator.group1.Group1@1383631152,0.7397,0.51018,0.87808
6,0.436,122,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group2.Group2@2000441417,class negotiator.group1.Group1@1096587663,class negotiator.group8.Group8@676268814,0.62854,0.91987,0.5355
1,0.407,113,Yes,No,3,0.54856,0.8935,0,0.30658,2.09695,class negotiator.group1.Group1@1055405630,class negotiator.group2.Group2@725845938,class negotiator.group8.Group8@251061172,0.8935,0.65489,0.54856
2,0.323,121,Yes,No,3,0.52844,0.8525,0.03458,0.37358,1.95708,class negotiator.group1.Group1@1588698655,class negotiator.group8.Group8@555162161,class negotiator.group2.Group2@383678390,0.8525,0.52844,0.57614
3,0.322,127,Yes,No,3,0.54856,0.81335,0,0.13557,2.09695,class negotiator.group8.Group8@789368218,class negotiator.group1.Group1@2099248898,class negotiator.group2.Group2@1681961986,0.73504,0.81335,0.54856
4,0.41,108,Yes,No,3,0.58123,0.87808,0,0.29943,2.12796,class negotiator.group8.Group8@21372155,class negotiator.group2.Group2@1223647572,class negotiator.group1.Group1@1242198180,0.58123,0.66865,0.87808
5,0.453,120,Yes,No,3,0.51018,0.87808,0,0.40298,2.12796,class negotiator.group2.Group2@730541379,class negotiator.group8.Group8@438000909,class negotiator.group1.Group1@692939483,0.7397,0.51018,0.87808
6,0.368,115,Yes,No,3,0.50751,0.93355,0,0.19951,2.05594,class negotiator.group2.Group2@811315206,class negotiator.group1.Group1@1112044155,class negotiator.group8.Group8@50052106,0.61488,0.93355,0.50751
