sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;1,491;103;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group1.Group1@18724493;class negotiator.group4.Group4@1169941389;class negotiator.group5.Group5@844652991;0,86258;0,88755;1,00000
2;0,924;98;Yes;No;3;0,59913;0,92987;0,13316;0,29683;2,39170;class negotiator.group1.Group1@1395021908;class negotiator.group5.Group5@2054233457;class negotiator.group4.Group4@407118980;0,86270;0,59913;0,92987
3;0,902;97;Yes;No;3;0,77368;1,00000;0,00000;0,12858;2,75413;class negotiator.group5.Group5@802346953;class negotiator.group1.Group1@995419558;class negotiator.group4.Group4@1118901176;0,77368;0,98045;1,00000
4;0,695;74;Yes;No;3;0,83850;1,00000;0,00000;0,02484;2,73215;class negotiator.group5.Group5@248468307;class negotiator.group4.Group4@1298625981;class negotiator.group1.Group1@1130558206;0,83850;0,89365;1,00000
5;0,809;94;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@672548900;class negotiator.group5.Group5@1322928139;class negotiator.group1.Group1@1555034782;0,92740;0,80075;1,00000
6;1,017;127;Yes;No;3;0,83850;1,00000;0,00000;0,02484;2,73215;class negotiator.group4.Group4@599262429;class negotiator.group1.Group1@105339773;class negotiator.group5.Group5@919039683;0,83850;0,89365;1,00000
1;1,024;118;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1756844830;class negotiator.group4.Group4@1538395207;class negotiator.group5.Group5@105134169;0,92740;0,80075;1,00000
2;0,596;77;Yes;No;3;0,82397;0,94094;0,00000;0,09667;2,67009;class negotiator.group1.Group1@1768903965;class negotiator.group5.Group5@205330687;class negotiator.group4.Group4@2134119327;0,90518;0,82397;0,94094
3;0,752;87;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@2036428554;class negotiator.group1.Group1@1807824839;class negotiator.group4.Group4@1513431317;0,84036;0,91077;0,94094
4;0,779;83;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@1200320659;class negotiator.group4.Group4@327935895;class negotiator.group1.Group1@1175549063;0,84036;0,91077;0,94094
5;0,939;94;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@192235927;class negotiator.group5.Group5@1093820001;class negotiator.group1.Group1@1372738487;0,92740;0,80075;1,00000
6;0,810;107;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group4.Group4@105603519;class negotiator.group1.Group1@1056851411;class negotiator.group5.Group5@664420340;0,84036;0,91077;0,94094
1;0,859;118;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@2115701739;class negotiator.group4.Group4@564900347;class negotiator.group5.Group5@254928642;0,92740;0,80075;1,00000
2;0,706;93;Yes;No;3;0,82397;0,94094;0,00000;0,09667;2,67009;class negotiator.group1.Group1@1504875647;class negotiator.group5.Group5@1530088410;class negotiator.group4.Group4@79234045;0,90518;0,82397;0,94094
3;0,630;76;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@1769670258;class negotiator.group1.Group1@199515256;class negotiator.group4.Group4@1030934625;0,84036;0,91077;0,94094
4;0,824;92;Yes;No;3;0,77368;1,00000;0,00000;0,12858;2,75413;class negotiator.group5.Group5@1153793061;class negotiator.group4.Group4@22643817;class negotiator.group1.Group1@470026800;0,77368;0,98045;1,00000
5;0,853;95;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@1539183718;class negotiator.group5.Group5@472736664;class negotiator.group1.Group1@1743101595;0,92740;0,80075;1,00000
6;0,831;106;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group4.Group4@957605646;class negotiator.group1.Group1@1235641704;class negotiator.group5.Group5@1263252638;0,84036;0,91077;0,94094
1;0,771;103;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group1.Group1@1044678626;class negotiator.group4.Group4@87369310;class negotiator.group5.Group5@1684662269;0,86258;0,88755;1,00000
2;0,745;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1650371288;class negotiator.group5.Group5@891452764;class negotiator.group4.Group4@1800683076;0,92740;0,80075;1,00000
3;0,630;91;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@2053751803;class negotiator.group1.Group1@901894790;class negotiator.group4.Group4@1206155004;0,84036;0,91077;0,94094
4;0,596;85;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group5.Group5@1653418225;class negotiator.group4.Group4@561715395;class negotiator.group1.Group1@412531553;0,86258;0,88755;1,00000
5;0,653;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@296234257;class negotiator.group5.Group5@942063653;class negotiator.group1.Group1@2014370287;0,92740;0,80075;1,00000
6;0,904;127;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@373632645;class negotiator.group1.Group1@401680687;class negotiator.group5.Group5@1506203888;0,92740;0,80075;1,00000
1;0,863;122;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group1.Group1@39795140;class negotiator.group4.Group4@969503763;class negotiator.group5.Group5@1491314952;0,86258;0,88755;1,00000
2;0,653;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1386833696;class negotiator.group5.Group5@1873907781;class negotiator.group4.Group4@1920392012;0,92740;0,80075;1,00000
3;0,705;103;Yes;No;3;0,77368;1,00000;0,00000;0,12858;2,75413;class negotiator.group5.Group5@422692628;class negotiator.group1.Group1@319094520;class negotiator.group4.Group4@754931081;0,77368;0,98045;1,00000
4;0,680;99;Yes;No;3;0,86073;0,94094;0,04520;0,06152;2,67209;class negotiator.group5.Group5@1445548156;class negotiator.group4.Group4@845359381;class negotiator.group1.Group1@203307915;0,86073;0,87042;0,94094
5;0,637;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@1681527014;class negotiator.group5.Group5@539729778;class negotiator.group1.Group1@267453918;0,92740;0,80075;1,00000
6;0,776;111;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group4.Group4@1495296498;class negotiator.group1.Group1@1594604692;class negotiator.group5.Group5@2072627531;0,86258;0,88755;1,00000
1;0,815;117;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@190548289;class negotiator.group4.Group4@646975546;class negotiator.group5.Group5@1008296861;0,92740;0,80075;1,00000
2;0,728;92;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1901887672;class negotiator.group5.Group5@1879501356;class negotiator.group4.Group4@1442326569;0,92740;0,80075;1,00000
3;0,865;118;Yes;No;3;0,81813;0,93400;0,00000;0,13448;2,63401;class negotiator.group5.Group5@636830811;class negotiator.group1.Group1@156943829;class negotiator.group4.Group4@645015487;0,81813;0,93400;0,88188
4;0,567;83;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@280400968;class negotiator.group4.Group4@1119947658;class negotiator.group1.Group1@266122051;0,84036;0,91077;0,94094
5;0,641;93;Yes;No;3;0,82397;0,94094;0,00000;0,09667;2,67009;class negotiator.group4.Group4@734157341;class negotiator.group5.Group5@1688878172;class negotiator.group1.Group1@1684074405;0,90518;0,82397;0,94094
6;0,866;123;Yes;No;3;0,83850;1,00000;0,00000;0,02484;2,73215;class negotiator.group4.Group4@2015925583;class negotiator.group1.Group1@811774762;class negotiator.group5.Group5@534815543;0,83850;0,89365;1,00000
1;0,934;118;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@168924280;class negotiator.group4.Group4@136992626;class negotiator.group5.Group5@332595598;0,92740;0,80075;1,00000
2;0,629;90;Yes;No;3;0,82397;0,94094;0,00000;0,09667;2,67009;class negotiator.group1.Group1@783882832;class negotiator.group5.Group5@2054066726;class negotiator.group4.Group4@1899838357;0,90518;0,82397;0,94094
3;0,753;108;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@937473222;class negotiator.group1.Group1@24924115;class negotiator.group4.Group4@140289640;0,84036;0,91077;0,94094
4;0,671;98;Yes;No;3;0,77368;1,00000;0,00000;0,12858;2,75413;class negotiator.group5.Group5@132574741;class negotiator.group4.Group4@1243130048;class negotiator.group1.Group1@418315073;0,77368;0,98045;1,00000
5;0,647;96;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@1003004271;class negotiator.group5.Group5@1893637394;class negotiator.group1.Group1@656032418;0,92740;0,80075;1,00000
6;0,896;127;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@654212203;class negotiator.group1.Group1@228223181;class negotiator.group5.Group5@341209525;0,92740;0,80075;1,00000
1;0,715;101;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group1.Group1@1677522306;class negotiator.group4.Group4@1952079126;class negotiator.group5.Group5@1486195463;0,86258;0,88755;1,00000
2;0,639;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@226186922;class negotiator.group5.Group5@477542864;class negotiator.group4.Group4@916526409;0,92740;0,80075;1,00000
3;0,692;101;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group5.Group5@2099550687;class negotiator.group1.Group1@1844592552;class negotiator.group4.Group4@993093372;0,86258;0,88755;1,00000
4;0,629;91;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@105941463;class negotiator.group4.Group4@294225278;class negotiator.group1.Group1@1536891952;0,84036;0,91077;0,94094
5;0,634;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@1030915150;class negotiator.group5.Group5@692862054;class negotiator.group1.Group1@1276207544;0,92740;0,80075;1,00000
6;0,701;100;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group4.Group4@251780582;class negotiator.group1.Group1@1133457084;class negotiator.group5.Group5@1833261898;0,86258;0,88755;1,00000
1;0,846;120;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1981909631;class negotiator.group4.Group4@336319600;class negotiator.group5.Group5@346558296;0,92740;0,80075;1,00000
2;0,724;104;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@2008455195;class negotiator.group5.Group5@1958498819;class negotiator.group4.Group4@2007793364;0,92740;0,80075;1,00000
3;0,496;74;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group5.Group5@1985732968;class negotiator.group1.Group1@170635149;class negotiator.group4.Group4@974280498;0,84036;0,91077;0,94094
4;0,581;85;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group5.Group5@453966942;class negotiator.group4.Group4@1960480050;class negotiator.group1.Group1@946604429;0,86258;0,88755;1,00000
5;0,690;98;Yes;No;3;0,86258;1,00000;0,00000;0,00000;2,75013;class negotiator.group4.Group4@508499624;class negotiator.group5.Group5@1515749155;class negotiator.group1.Group1@1745027371;0,86258;0,88755;1,00000
6;0,867;127;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@939480969;class negotiator.group1.Group1@1556873239;class negotiator.group5.Group5@1427772825;0,92740;0,80075;1,00000
1;0,809;117;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1884925438;class negotiator.group4.Group4@263075922;class negotiator.group5.Group5@1995675528;0,92740;0,80075;1,00000
2;0,632;93;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group1.Group1@1401353337;class negotiator.group5.Group5@1092378310;class negotiator.group4.Group4@764557967;0,92740;0,80075;1,00000
3;0,641;93;Yes;No;3;0,79591;0,95722;0,00000;0,11308;2,69407;class negotiator.group5.Group5@1895100132;class negotiator.group1.Group1@1617949867;class negotiator.group4.Group4@1445476355;0,79591;0,95722;0,94094
4;0,552;79;Yes;No;3;0,83850;1,00000;0,00000;0,02484;2,73215;class negotiator.group5.Group5@1821869429;class negotiator.group4.Group4@1337654277;class negotiator.group1.Group1@2096616743;0,83850;0,89365;1,00000
5;0,663;97;Yes;No;3;0,80075;1,00000;0,00000;0,10833;2,72815;class negotiator.group4.Group4@34162781;class negotiator.group5.Group5@795726518;class negotiator.group1.Group1@1394918157;0,92740;0,80075;1,00000
6;0,737;107;Yes;No;3;0,84036;0,94094;0,00000;0,06724;2,69207;class negotiator.group4.Group4@437644811;class negotiator.group1.Group1@364847502;class negotiator.group5.Group5@926153929;0,84036;0,91077;0,94094
