sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,643;166;Yes;No;3;0,48813;0,78101;0,06798;0,26445;1,95278;class negotiator.group1.Group1@985275180;class negotiator.group7.Group7@880665099;class negotiator.group8.Group8@809660508;0,78101;0,68364;0,48813
2;0,647;171;Yes;No;3;0,46472;0,83246;0,02624;0,41229;1,96725;class negotiator.group1.Group1@1967188016;class negotiator.group8.Group8@533327567;class negotiator.group7.Group7@1157577351;0,83246;0,46472;0,67007
3;0,322;165;Yes;No;3;0,54848;0,78513;0,03954;0,16430;2,03483;class negotiator.group8.Group8@1738302164;class negotiator.group1.Group1@359602047;class negotiator.group7.Group7@1166032011;0,54848;0,78513;0,70121
4;0,246;168;Yes;No;3;0,54118;0,75491;0,07274;0,22697;2,00481;class negotiator.group8.Group8@2014715326;class negotiator.group7.Group7@2090355370;class negotiator.group1.Group1@287403689;0,54118;0,70871;0,75491
5;0,237;167;Yes;No;3;0,58756;0,75379;0,06032;0,21520;2,02734;class negotiator.group7.Group7@1426160738;class negotiator.group8.Group8@498233489;class negotiator.group1.Group1@591508631;0,58756;0,68598;0,75379
6;0,192;167;Yes;No;3;0,52919;0,80383;0,07274;0,15473;1,99387;class negotiator.group7.Group7@965726832;class negotiator.group1.Group1@1739807567;class negotiator.group8.Group8@1770752464;0,66085;0,80383;0,52919
1;0,212;165;Yes;No;3;0,37128;0,83980;0,00000;0,36359;1,91971;class negotiator.group1.Group1@1203797370;class negotiator.group7.Group7@10173344;class negotiator.group8.Group8@2106552799;0,83980;0,70863;0,37128
2;0,237;165;Yes;No;3;0,49376;0,83984;0,00000;0,38885;2,03482;class negotiator.group1.Group1@1224716983;class negotiator.group8.Group8@210775423;class negotiator.group7.Group7@1427063158;0,83984;0,49376;0,70121
3;0,169;174;Yes;No;3;0,41367;0,79250;0,21327;0,33807;1,70058;class negotiator.group8.Group8@1393083265;class negotiator.group1.Group1@1717021021;class negotiator.group7.Group7@1805749053;0,41367;0,79250;0,49441
4;0,160;164;Yes;No;3;0,43376;0,75255;0,16800;0,32595;1,86233;class negotiator.group8.Group8@1149924302;class negotiator.group7.Group7@1368106005;class negotiator.group1.Group1@172880440;0,43376;0,67602;0,75255
5;0,187;165;Yes;No;3;0,58942;0,75804;0,07274;0,27989;2,00793;class negotiator.group7.Group7@1842509871;class negotiator.group8.Group8@2060546648;class negotiator.group1.Group1@1987496475;0,66047;0,58942;0,75804
6;0,158;164;Yes;No;3;0,25125;0,78787;0,00000;0,44052;1,79963;class negotiator.group7.Group7@323959519;class negotiator.group1.Group1@1830955929;class negotiator.group8.Group8@470865879;0,78787;0,76051;0,25125
1;0,152;163;Yes;No;3;0,50751;0,77509;0,00000;0,19951;2,05588;class negotiator.group1.Group1@1551294556;class negotiator.group7.Group7@914731215;class negotiator.group8.Group8@1250372453;0,77509;0,77329;0,50751
