sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,000;4;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1279135415;class negotiator.group3.Group3@2117613435;class negotiator.group10.Group10@482520314;1,00000;0,96713;0,86465
2;0,002;16;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1798960048;class negotiator.group10.Group10@699260623;class negotiator.group3.Group3@1442774377;1,00000;0,96713;0,86465
3;0,001;10;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@730605423;class negotiator.group1.Group1@2121334462;class negotiator.group3.Group3@744795340;1,00000;0,96713;0,86465
4;0,001;12;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1380697703;class negotiator.group3.Group3@1825488486;class negotiator.group1.Group1@2033603160;0,80057;0,89337;1,00000
5;0,006;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1347231173;class negotiator.group10.Group10@1994234290;class negotiator.group1.Group1@1318433301;1,00000;0,96713;0,86465
6;0,001;9;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@489268349;class negotiator.group1.Group1@418257280;class negotiator.group10.Group10@936128329;1,00000;0,96713;0,86465
1;0,001;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1749808818;class negotiator.group3.Group3@1395742108;class negotiator.group10.Group10@1273732975;1,00000;0,96713;0,86465
2;0,001;16;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@464962129;class negotiator.group10.Group10@2072994317;class negotiator.group3.Group3@40796891;1,00000;0,96713;0,86465
3;0,001;12;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1729278055;class negotiator.group1.Group1@2080075534;class negotiator.group3.Group3@943210425;1,00000;0,96713;0,86465
4;0,001;13;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@124716814;class negotiator.group3.Group3@171453426;class negotiator.group1.Group1@1842160155;0,80057;0,89337;1,00000
5;0,004;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@416981811;class negotiator.group10.Group10@974157316;class negotiator.group1.Group1@246685284;1,00000;0,96713;0,86465
6;0,001;8;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1341809624;class negotiator.group1.Group1@1068573421;class negotiator.group10.Group10@107746886;1,00000;0,96713;0,86465
1;0,001;8;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@136910425;class negotiator.group3.Group3@1098527038;class negotiator.group10.Group10@1027014407;1,00000;0,96713;0,86465
2;0,001;11;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1047855002;class negotiator.group10.Group10@1933113214;class negotiator.group3.Group3@553692235;1,00000;0,96713;0,86465
3;0,001;11;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1941209718;class negotiator.group1.Group1@1340165202;class negotiator.group3.Group3@1348060278;1,00000;0,96713;0,86465
4;0,001;12;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@540697273;class negotiator.group3.Group3@1495756854;class negotiator.group1.Group1@741873396;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1271523509;class negotiator.group10.Group10@885844466;class negotiator.group1.Group1@2031299058;1,00000;0,96713;0,86465
6;0,000;5;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@314857947;class negotiator.group1.Group1@417809021;class negotiator.group10.Group10@1992173904;1,00000;0,96713;0,86465
1;0,001;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1994360340;class negotiator.group3.Group3@1289472004;class negotiator.group10.Group10@1898489351;1,00000;0,96713;0,86465
2;0,001;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@94264169;class negotiator.group10.Group10@1602440544;class negotiator.group3.Group3@625805981;1,00000;0,96713;0,86465
3;0,001;11;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1175756571;class negotiator.group1.Group1@1943652750;class negotiator.group3.Group3@1598014733;1,00000;0,96713;0,86465
4;0,001;8;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@856872536;class negotiator.group3.Group3@431375770;class negotiator.group1.Group1@227774118;0,80057;0,89337;1,00000
5;0,004;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1455952141;class negotiator.group10.Group10@1758959869;class negotiator.group1.Group1@578633681;1,00000;0,96713;0,86465
6;0,000;4;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1167970051;class negotiator.group1.Group1@2072113577;class negotiator.group10.Group10@270585240;1,00000;0,96713;0,86465
1;0,000;4;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@2091193359;class negotiator.group3.Group3@969417911;class negotiator.group10.Group10@48400388;1,00000;0,96713;0,86465
2;0,001;14;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@2110527699;class negotiator.group10.Group10@1651639594;class negotiator.group3.Group3@733035236;1,00000;0,96713;0,86465
3;0,001;11;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1233608813;class negotiator.group1.Group1@1456191953;class negotiator.group3.Group3@1494512859;1,00000;0,96713;0,86465
4;0,001;9;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1770341886;class negotiator.group3.Group3@750148817;class negotiator.group1.Group1@2022159429;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1210124255;class negotiator.group10.Group10@1888216695;class negotiator.group1.Group1@1892141146;1,00000;0,96713;0,86465
6;0,000;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@428456887;class negotiator.group1.Group1@562231418;class negotiator.group10.Group10@495395526;1,00000;0,96713;0,86465
1;0,001;8;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1602152517;class negotiator.group3.Group3@79903486;class negotiator.group10.Group10@760609827;1,00000;0,96713;0,86465
2;0,002;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@608889625;class negotiator.group10.Group10@848349420;class negotiator.group3.Group3@1064769507;1,00000;0,96713;0,86465
3;0,001;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1789003268;class negotiator.group1.Group1@859383629;class negotiator.group3.Group3@1833126528;1,00000;0,96713;0,86465
4;0,001;11;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1889102496;class negotiator.group3.Group3@1747413024;class negotiator.group1.Group1@1931821643;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@15713845;class negotiator.group10.Group10@2109587981;class negotiator.group1.Group1@890184697;1,00000;0,96713;0,86465
6;0,000;4;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@176683431;class negotiator.group1.Group1@1696024663;class negotiator.group10.Group10@1536064410;1,00000;0,96713;0,86465
1;0,001;7;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@2011843532;class negotiator.group3.Group3@924220309;class negotiator.group10.Group10@621514612;1,00000;0,96713;0,86465
2;0,002;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@775538309;class negotiator.group10.Group10@1394105720;class negotiator.group3.Group3@1688247270;1,00000;0,96713;0,86465
3;0,002;19;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1577410013;class negotiator.group1.Group1@844466276;class negotiator.group3.Group3@225277709;1,00000;0,96713;0,86465
4;0,001;10;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1202203984;class negotiator.group3.Group3@1916208112;class negotiator.group1.Group1@2044967972;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1847901767;class negotiator.group10.Group10@776495055;class negotiator.group1.Group1@294266566;1,00000;0,96713;0,86465
6;0,000;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@464125003;class negotiator.group1.Group1@888319517;class negotiator.group10.Group10@679808275;1,00000;0,96713;0,86465
1;0,001;8;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1835929503;class negotiator.group3.Group3@1422116825;class negotiator.group10.Group10@24486665;1,00000;0,96713;0,86465
2;0,001;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1617275698;class negotiator.group10.Group10@852136207;class negotiator.group3.Group3@284789206;1,00000;0,96713;0,86465
3;0,001;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@524605620;class negotiator.group1.Group1@1626284405;class negotiator.group3.Group3@1937619466;1,00000;0,96713;0,86465
4;0,001;9;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1762617868;class negotiator.group3.Group3@1929080758;class negotiator.group1.Group1@1499680947;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1479248845;class negotiator.group10.Group10@317156596;class negotiator.group1.Group1@396497118;1,00000;0,96713;0,86465
6;0,000;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1947466991;class negotiator.group1.Group1@1279453810;class negotiator.group10.Group10@1026427259;1,00000;0,96713;0,86465
1;0,001;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@727380254;class negotiator.group3.Group3@1603010254;class negotiator.group10.Group10@1610987363;1,00000;0,96713;0,86465
2;0,001;12;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@978419429;class negotiator.group10.Group10@1013058124;class negotiator.group3.Group3@1217536652;1,00000;0,96713;0,86465
3;0,001;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@402257882;class negotiator.group1.Group1@469702018;class negotiator.group3.Group3@131930154;1,00000;0,96713;0,86465
4;0,001;8;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1388449746;class negotiator.group3.Group3@1117572720;class negotiator.group1.Group1@1152728378;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@369323495;class negotiator.group10.Group10@992240635;class negotiator.group1.Group1@1377833490;1,00000;0,96713;0,86465
6;0,001;6;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1512213667;class negotiator.group1.Group1@306139024;class negotiator.group10.Group10@2055241803;1,00000;0,96713;0,86465
1;0,000;4;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1859705827;class negotiator.group3.Group3@1598835951;class negotiator.group10.Group10@172953546;1,00000;0,96713;0,86465
2;0,001;12;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group1.Group1@1916322832;class negotiator.group10.Group10@1825583365;class negotiator.group3.Group3@1480750866;1,00000;0,96713;0,86465
3;0,002;13;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group10.Group10@1513370263;class negotiator.group1.Group1@417695173;class negotiator.group3.Group3@78730568;1,00000;0,96713;0,86465
4;0,001;10;Yes;No;3;0,80057;1,00000;0,00000;0,25206;2,69393;class negotiator.group10.Group10@1662098964;class negotiator.group3.Group3@430007772;class negotiator.group1.Group1@858151849;0,80057;0,89337;1,00000
5;0,005;36;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@232848189;class negotiator.group10.Group10@764307689;class negotiator.group1.Group1@1619636316;1,00000;0,96713;0,86465
6;0,001;9;Yes;No;3;0,86465;1,00000;0,00000;0,00000;2,83178;class negotiator.group3.Group3@1294903118;class negotiator.group1.Group1@837425528;class negotiator.group10.Group10@3026658;1,00000;0,96713;0,86465
