sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,001;6;Yes;No;3;0,36732;1,00000;0,00000;0,68348;2,36732;class negotiator.group1.Group1@237944118;class negotiator.group3.Group3@512240512;class negotiator.group11.Group11@2111828008;1,00000;1,00000;0,36732
2;0,028;39;Yes;No;3;0,36732;1,00000;0,00000;0,00000;2,36732;class negotiator.group1.Group1@238604297;class negotiator.group11.Group11@870450730;class negotiator.group3.Group3@1006815746;1,00000;1,00000;0,36732
3;0,006;39;Yes;No;3;0,36732;1,00000;0,00000;0,00000;2,36732;class negotiator.group11.Group11@1528588309;class negotiator.group1.Group1@636840302;class negotiator.group3.Group3@316459066;1,00000;1,00000;0,36732
4;0,002;13;Yes;No;3;0,75000;1,00000;0,00000;0,68348;2,68398;class negotiator.group11.Group11@1558012290;class negotiator.group3.Group3@1244450159;class negotiator.group1.Group1@1130584180;0,75000;0,93398;1,00000
5;0,006;17;Yes;No;3;0,75000;1,00000;0,00000;0,68348;2,68398;class negotiator.group3.Group3@793004604;class negotiator.group11.Group11@744866146;class negotiator.group1.Group1@1283137459;0,75000;0,93398;1,00000
6;0,001;6;Yes;No;3;0,36732;1,00000;0,00000;0,68348;2,36732;class negotiator.group3.Group3@1757229594;class negotiator.group1.Group1@1562672814;class negotiator.group11.Group11@116982088;1,00000;1,00000;0,36732
1;0,001;6;Yes;No;3;0,36732;1,00000;0,00000;0,68348;2,36732;class negotiator.group1.Group1@1170416011;class negotiator.group3.Group3@231690357;class negotiator.group11.Group11@631978088;1,00000;1,00000;0,36732
2;0,021;39;Yes;No;3;0,36732;1,00000;0,00000;0,00000;2,36732;class negotiator.group1.Group1@201606954;class negotiator.group11.Group11@1826364559;class negotiator.group3.Group3@1725376542;1,00000;1,00000;0,36732
3;0,008;39;Yes;No;3;0,36732;1,00000;0,00000;0,00000;2,36732;class negotiator.group11.Group11@931855953;class negotiator.group1.Group1@104764500;class negotiator.group3.Group3@1987844607;1,00000;1,00000;0,36732
4;0,002;16;Yes;No;3;0,75000;1,00000;0,00000;0,68348;2,68398;class negotiator.group11.Group11@1301213470;class negotiator.group3.Group3@1668812889;class negotiator.group1.Group1@1601795603;0,75000;0,93398;1,00000
5;0,002;16;Yes;No;3;0,75000;1,00000;0,00000;0,68348;2,68398;class negotiator.group3.Group3@523700829;class negotiator.group11.Group11@1451847597;class negotiator.group1.Group1@1493365565;0,75000;0,93398;1,00000
