sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,057;42;Yes;No;3;0,49742;0,85983;0,00000;0,40082;1,94682;class negotiator.group1.Group1@2028560191;class negotiator.group6.Group6@560750365;class negotiator.group8.Group8@1373141519;0,85983;0,49742;0,58958
2;0,013;43;Yes;No;3;0,67173;0,85345;0,00000;0,22410;2,22013;class negotiator.group1.Group1@1562807365;class negotiator.group8.Group8@230897098;class negotiator.group6.Group6@184575957;0,85345;0,69495;0,67173
3;0,020;42;Yes;No;3;0,54815;0,88352;0,03402;0,17067;2,01285;class negotiator.group8.Group8@1201723031;class negotiator.group1.Group1@275281982;class negotiator.group6.Group6@984495836;0,58119;0,88352;0,54815
4;0,045;42;Yes;No;3;0,58123;0,87808;0,00000;0,29943;2,12796;class negotiator.group8.Group8@231762131;class negotiator.group6.Group6@1838283706;class negotiator.group1.Group1@187017353;0,58123;0,66865;0,87808
5;0,034;40;Yes;No;3;0,58123;0,87808;0,00000;0,29943;2,12796;class negotiator.group6.Group6@1432076310;class negotiator.group8.Group8@2057310241;class negotiator.group1.Group1@579020140;0,58123;0,66865;0,87808
6;0,037;40;Yes;No;3;0,53550;0,91987;0,00000;0,16549;2,08391;class negotiator.group6.Group6@1343088423;class negotiator.group1.Group1@1086511744;class negotiator.group8.Group8@949430967;0,62854;0,91987;0,53550
1;0,042;42;Yes;No;3;0,56113;0,87987;0,00000;0,35861;2,01793;class negotiator.group1.Group1@863619999;class negotiator.group6.Group6@19353120;class negotiator.group8.Group8@997857143;0,87987;0,56113;0,57693
2;0,017;42;Yes;No;3;0,56113;0,87987;0,00000;0,35861;2,01793;class negotiator.group1.Group1@1285202978;class negotiator.group8.Group8@1015929720;class negotiator.group6.Group6@88326743;0,87987;0,56113;0,57693
3;0,015;46;Yes;No;3;0,45298;0,77700;0,05976;0,23183;1,91766;class negotiator.group8.Group8@596369524;class negotiator.group1.Group1@876409319;class negotiator.group6.Group6@221089660;0,68769;0,77700;0,45298
4;0,046;40;Yes;No;3;0,58123;0,87808;0,00000;0,29943;2,12796;class negotiator.group8.Group8@707206310;class negotiator.group6.Group6@1841949672;class negotiator.group1.Group1@1671365799;0,58123;0,66865;0,87808
