Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,0.33,105,Yes,No,3,0.67889,0.94737,0,0.32275,2.30746,class negotiator.group1.Group1@965957114,class negotiator.group2.Group2@928296120,class negotiator.group6.Group6@862666378,0.94737,0.67889,0.6812
2,0.358,118,Yes,No,3,0.57699,0.87944,0.13934,0.40201,2.07117,class negotiator.group1.Group1@1986635395,class negotiator.group6.Group6@1442185521,class negotiator.group2.Group2@1205163611,0.87944,0.57699,0.61474
3,0.353,114,Yes,No,3,0.75214,0.93824,0,0,2.45923,class negotiator.group6.Group6@765505349,class negotiator.group1.Group1@373709260,class negotiator.group2.Group2@1935420860,0.76884,0.93824,0.75214
4,0.316,101,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group6.Group6@517396994,class negotiator.group2.Group2@916751386,class negotiator.group1.Group1@302523195,0.79516,0.78132,0.86061
5,0.283,104,Yes,No,3,0.70048,0.87951,0,0.27157,2.3173,class negotiator.group2.Group2@2870539,class negotiator.group6.Group6@679809478,class negotiator.group1.Group1@982762648,0.73731,0.70048,0.87951
6,0.307,93,Yes,No,3,0.75214,0.93824,0,0,2.45923,class negotiator.group2.Group2@1766930698,class negotiator.group1.Group1@936174270,class negotiator.group6.Group6@935845536,0.76884,0.93824,0.75214
1,0.315,97,Yes,No,3,0.71959,0.85787,0.05694,0.23752,2.30348,class negotiator.group1.Group1@324303812,class negotiator.group2.Group2@1932368333,class negotiator.group6.Group6@589585412,0.85787,0.71959,0.72602
2,0.338,124,Yes,No,3,0.74065,0.86796,0,0.22886,2.42,class negotiator.group1.Group1@715105310,class negotiator.group6.Group6@438661330,class negotiator.group2.Group2@98132394,0.86796,0.74065,0.81139
3,0.377,107,Yes,No,3,0.70292,0.89757,0,0.09683,2.44214,class negotiator.group6.Group6@77388137,class negotiator.group1.Group1@1408508592,class negotiator.group2.Group2@1650879484,0.84165,0.89757,0.70292
4,0.289,110,Yes,No,3,0.78132,0.86061,0,0.19257,2.43708,class negotiator.group6.Group6@746357291,class negotiator.group2.Group2@1313427804,class negotiator.group1.Group1@1012534151,0.79516,0.78132,0.86061
5,0.254,120,Yes,No,3,0.53062,0.87515,0.06975,0.4523,2.02201,class negotiator.group2.Group2@1832042107,class negotiator.group6.Group6@622265388,class negotiator.group1.Group1@558920291,0.61624,0.53062,0.87515
