Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,0.257,33,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@678729959,class negotiator.group3.Group3@649290649,class negotiator.group4.Group4@579662743,0.90518,0.82397,0.94094
2,0.416,120,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group1.Group1@517916287,class negotiator.group4.Group4@313922462,class negotiator.group3.Group3@1418576889,0.86258,0.88755,1
3,0.405,114,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group4.Group4@374275633,class negotiator.group1.Group1@525185257,class negotiator.group3.Group3@840981277,0.84036,0.91077,0.94094
4,0.321,38,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group4.Group4@231704273,class negotiator.group3.Group3@1351200409,class negotiator.group1.Group1@2121208495,0.9274,0.80075,1
5,0.226,55,Yes,No,3,0.79591,0.95722,0,0.11308,2.69407,class negotiator.group3.Group3@717339399,class negotiator.group4.Group4@315709019,class negotiator.group1.Group1@639425078,0.79591,0.95722,0.94094
6,0.143,39,Yes,No,3,0.84036,0.94094,0,0.06724,2.69207,class negotiator.group3.Group3@1238617121,class negotiator.group1.Group1@265721662,class negotiator.group4.Group4@688957296,0.84036,0.91077,0.94094
1,0.233,57,Yes,No,3,0.74184,0.92987,0.04454,0.16673,2.57491,class negotiator.group1.Group1@188721808,class negotiator.group3.Group3@391190724,class negotiator.group4.Group4@1253111583,0.9032,0.74184,0.92987
2,0.252,129,Yes,No,3,0.6927,0.85923,0.17275,0.33652,2.30237,class negotiator.group1.Group1@112650131,class negotiator.group4.Group4@1927338647,class negotiator.group3.Group3@1703784673,0.85923,0.75044,0.6927
3,0.233,106,Yes,No,3,0.86258,1,0,0,2.75013,class negotiator.group4.Group4@1658569058,class negotiator.group1.Group1@1673653323,class negotiator.group3.Group3@858552291,0.86258,0.88755,1
4,0.202,40,Yes,No,3,0.80075,1,0,0.10833,2.72815,class negotiator.group4.Group4@673946707,class negotiator.group3.Group3@1965556569,class negotiator.group1.Group1@305810487,0.9274,0.80075,1
5,0.179,46,Yes,No,3,0.77368,1,0,0.12858,2.75413,class negotiator.group3.Group3@4789359,class negotiator.group4.Group4@72958749,class negotiator.group1.Group1@1398762041,0.77368,0.98045,1
6,0.221,38,Yes,No,3,0.79591,0.95722,0,0.11308,2.69407,class negotiator.group3.Group3@1261353784,class negotiator.group1.Group1@126348201,class negotiator.group4.Group4@631688551,0.79591,0.95722,0.94094
1,0.216,36,Yes,No,3,0.82397,0.94094,0,0.09667,2.67009,class negotiator.group1.Group1@1429462681,class negotiator.group3.Group3@1248362435,class negotiator.group4.Group4@1625842461,0.90518,0.82397,0.94094
