Session,Time (s),Rounds,Agreement,Discounted,Approval,Min. utility,Max. utility,Distance to pareto,Distance to Nash,Social welfare,Agent name 1,Agent name 2,Agent name 3,Agent utility 1,Agent utility 2,Agent utility 3
1,4.244,172,Yes,No,3,0.47698,0.8011,0.11809,0.39011,1.81056,class negotiator.group1.Group1@1628809125,class negotiator.group5.Group5@1697267551,class negotiator.group7.Group7@539536798,0.8011,0.53248,0.47698
2,3.577,172,Yes,No,3,0.5355,0.75979,0.11587,0.27082,1.92379,class negotiator.group1.Group1@297945606,class negotiator.group7.Group7@631660454,class negotiator.group5.Group5@1074221777,0.75979,0.6285,0.5355
3,3.32,161,Yes,No,3,0.5355,0.78697,0,0.16549,2.0839,class negotiator.group7.Group7@721415791,class negotiator.group1.Group1@695075660,class negotiator.group5.Group5@1050817192,0.76143,0.78697,0.5355
4,3.999,171,Yes,No,3,0.51343,0.8157,0.11231,0.3461,1.92546,class negotiator.group7.Group7@1145663095,class negotiator.group5.Group5@286288903,class negotiator.group1.Group1@1211988234,0.51343,0.59633,0.8157
5,3.707,169,Yes,No,3,0.59983,0.77742,0,0.27746,2.11103,class negotiator.group5.Group5@1738880471,class negotiator.group7.Group7@1745929602,class negotiator.group1.Group1@2062740691,0.73378,0.59983,0.77742
6,3.93,172,Yes,No,3,0.48855,0.80383,0.12946,0.25406,1.81844,class negotiator.group5.Group5@1503932334,class negotiator.group1.Group1@392274624,class negotiator.group7.Group7@2041796987,0.52606,0.80383,0.48855
1,3.925,172,Yes,No,3,0.41234,0.80148,0,0.29995,1.96072,class negotiator.group1.Group1@340440810,class negotiator.group5.Group5@1827353234,class negotiator.group7.Group7@1980164717,0.80148,0.7469,0.41234
2,3.491,169,Yes,No,3,0.55072,0.80656,0.06788,0.34222,1.91483,class negotiator.group1.Group1@362614103,class negotiator.group7.Group7@1411454184,class negotiator.group5.Group5@1634452316,0.80656,0.55072,0.55755
3,3.636,168,Yes,No,3,0.37128,0.8671,0,0.30106,1.91971,class negotiator.group7.Group7@553588894,class negotiator.group1.Group1@1576357475,class negotiator.group5.Group5@19896161,0.68133,0.8671,0.37128
4,3.894,171,Yes,No,3,0.54118,0.75491,0.07274,0.22697,2.00481,class negotiator.group7.Group7@1046594875,class negotiator.group5.Group5@1711411585,class negotiator.group1.Group1@292801908,0.54118,0.70871,0.75491
5,3.708,169,Yes,No,3,0.55025,0.75491,0.06427,0.31441,2.00481,class negotiator.group5.Group5@1822086308,class negotiator.group7.Group7@1558354961,class negotiator.group1.Group1@706351125,0.69965,0.55025,0.75491
6,3.92,173,Yes,No,3,0.47383,0.81028,0.16016,0.29034,1.77108,class negotiator.group5.Group5@621637711,class negotiator.group1.Group1@520662974,class negotiator.group7.Group7@1472375386,0.48696,0.81028,0.47383
1,3.476,167,Yes,No,3,0.67173,0.85345,0,0.2241,2.22013,class negotiator.group1.Group1@757236239,class negotiator.group5.Group5@1667432684,class negotiator.group7.Group7@969684577,0.85345,0.69495,0.67173
2,1.822,165,Yes,No,3,0.54856,0.8134,0,0.20787,2.09698,class negotiator.group1.Group1@2065619832,class negotiator.group7.Group7@1108679918,class negotiator.group5.Group5@965349408,0.8134,0.73502,0.54856
3,3.314,166,Yes,No,3,0.5355,0.91987,0,0.16549,2.08391,class negotiator.group7.Group7@1638745678,class negotiator.group1.Group1@1826980888,class negotiator.group5.Group5@117249798,0.62854,0.91987,0.5355
4,3.999,167,Yes,No,3,0.65455,0.77742,0,0.20786,2.11103,class negotiator.group7.Group7@613295535,class negotiator.group5.Group5@1252348703,class negotiator.group1.Group1@1573578486,0.65455,0.67906,0.77742
5,3.809,171,Yes,No,3,0.63351,0.77427,0.02624,0.22425,2.07149,class negotiator.group5.Group5@1689980181,class negotiator.group7.Group7@835579760,class negotiator.group1.Group1@1360035837,0.63351,0.6637,0.77427
6,3.742,165,Yes,No,3,0.5265,0.80339,0.07838,0.17576,2.00161,class negotiator.group5.Group5@1541918335,class negotiator.group1.Group1@1728619443,class negotiator.group7.Group7@971007565,0.5265,0.80339,0.67173
1,3.95,171,Yes,No,3,0.46917,0.78057,0.06398,0.27754,1.93383,class negotiator.group1.Group1@1801259291,class negotiator.group5.Group5@237811257,class negotiator.group7.Group7@748394868,0.78057,0.68409,0.46917
2,1.294,168,Yes,No,3,0.5444,0.75279,0.08654,0.31505,1.94831,class negotiator.group1.Group1@385044644,class negotiator.group7.Group7@367367856,class negotiator.group5.Group5@2115204939,0.75279,0.5444,0.65111
3,1.943,167,Yes,No,3,0.37128,0.83974,0,0.30106,1.91966,class negotiator.group7.Group7@238227908,class negotiator.group1.Group1@46733014,class negotiator.group5.Group5@1000357929,0.70864,0.83974,0.37128
