sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,967;93;Yes;No;3;0,63061;0,92059;0,00000;0,29151;2,27223;class negotiator.group1.Group1@208361797;class negotiator.group8.Group8@139779088;class negotiator.group10.Group10@1297503102;0,92059;0,72103;0,63061
2;2,042;107;Yes;No;3;0,63198;0,91097;0,07349;0,35306;2,18117;class negotiator.group1.Group1@2085699427;class negotiator.group10.Group10@1380698277;class negotiator.group8.Group8@762948657;0,91097;0,63822;0,63198
3;5,173;145;Yes;No;3;0,55230;0,83781;0,21645;0,29415;1,97035;class negotiator.group10.Group10@1162716713;class negotiator.group1.Group1@1229930693;class negotiator.group8.Group8@691500537;0,55230;0,83781;0,58024
4;3,687;129;Yes;No;3;0,55788;0,80605;0,11689;0,40420;2,00712;class negotiator.group10.Group10@540794815;class negotiator.group8.Group8@323086869;class negotiator.group1.Group1@21749049;0,64319;0,55788;0,80605
5;1,521;107;Yes;No;3;0,56378;0,93624;0,00000;0,42126;2,11965;class negotiator.group8.Group8@227367535;class negotiator.group10.Group10@285218953;class negotiator.group1.Group1@1325247877;0,56378;0,61963;0,93624
6;2,908;122;Yes;No;3;0,75214;0,93824;0,00000;0,00000;2,45923;class negotiator.group8.Group8@1996746428;class negotiator.group1.Group1@1725326469;class negotiator.group10.Group10@1172597855;0,76884;0,93824;0,75214
1;3,478;129;Yes;No;3;0,53682;0,85800;0,16785;0,41700;2,07768;class negotiator.group1.Group1@1770230068;class negotiator.group8.Group8@1009001165;class negotiator.group10.Group10@1522808706;0,85800;0,53682;0,68286
2;3,326;127;Yes;No;3;0,56855;0,86935;0,10119;0,38165;2,05701;class negotiator.group1.Group1@1090846756;class negotiator.group10.Group10@1546285187;class negotiator.group8.Group8@657007779;0,86935;0,61910;0,56855
3;4,355;136;Yes;No;3;0,51334;0,83448;0,20933;0,30760;1,95287;class negotiator.group10.Group10@725010154;class negotiator.group1.Group1@613881191;class negotiator.group8.Group8@1257582954;0,60506;0,83448;0,51334
4;6,410;159;Yes;No;3;0,34785;0,82059;0,17853;0,61524;1,77832;class negotiator.group10.Group10@1249573331;class negotiator.group8.Group8@1448800726;class negotiator.group1.Group1@893907990;0,60987;0,34785;0,82059
5;3,686;131;Yes;No;3;0,61196;0,92437;0,00000;0,37748;2,22537;class negotiator.group8.Group8@1288606991;class negotiator.group10.Group10@1293617409;class negotiator.group1.Group1@1198957552;0,68904;0,61196;0,92437
6;4,665;143;Yes;No;3;0,72183;0,81673;0,00000;0,12613;2,32236;class negotiator.group8.Group8@342938666;class negotiator.group1.Group1@28742820;class negotiator.group10.Group10@1940774465;0,78380;0,81673;0,72183
1;0,957;100;Yes;No;3;0,63198;0,91097;0,07349;0,35306;2,18117;class negotiator.group1.Group1@1070386772;class negotiator.group8.Group8@174751421;class negotiator.group10.Group10@388560487;0,91097;0,63822;0,63198
2;4,213;136;Yes;No;3;0,46412;0,83668;0,12801;0,39919;1,97110;class negotiator.group1.Group1@534976357;class negotiator.group10.Group10@1176837554;class negotiator.group8.Group8@384712927;0,83668;0,67030;0,46412
3;2,594;111;Yes;No;3;0,57273;0,91866;0,11975;0,23609;2,10802;class negotiator.group10.Group10@1898570942;class negotiator.group1.Group1@529514404;class negotiator.group8.Group8@2063858738;0,61663;0,91866;0,57273
4;4,624;120;Yes;No;3;0,62162;0,91733;0,00000;0,32480;2,23943;class negotiator.group10.Group10@124567076;class negotiator.group8.Group8@1711035378;class negotiator.group1.Group1@33210643;0,62162;0,70048;0,91733
5;0,402;94;Yes;No;3;0,62162;0,91733;0,00000;0,32480;2,23943;class negotiator.group8.Group8@790266246;class negotiator.group10.Group10@679355476;class negotiator.group1.Group1@2136705553;0,62162;0,70048;0,91733
