sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;1.648;125;Yes;No;3;0.54815;0.89985;0.00000;0.37490;2.01279;class negotiator.group1.Group1@1727486327;class negotiator.group2.Group2@693949192;class negotiator.group3.Group3@656570508;0.89985;0.56479;0.54815
2;0.937;124;Yes;No;3;0.52844;0.85250;0.03458;0.37358;1.95708;class negotiator.group1.Group1@1049341581;class negotiator.group3.Group3@920516552;class negotiator.group2.Group2@1238837370;0.85250;0.52844;0.57614
3;0.956;122;Yes;No;3;0.53488;0.85342;0.11124;0.16011;2.06002;class negotiator.group3.Group3@723300516;class negotiator.group1.Group1@1534642501;class negotiator.group2.Group2@411971072;0.53488;0.85342;0.67173
4;1.583;114;Yes;No;3;0.54754;0.87808;0.06032;0.34562;2.04423;class negotiator.group3.Group3@1505578252;class negotiator.group2.Group2@392843023;class negotiator.group1.Group1@180723270;0.54754;0.61861;0.87808
5;1.537;112;Yes;No;3;0.47749;0.87572;0.04118;0.43229;1.98548;class negotiator.group2.Group2@1674731312;class negotiator.group3.Group3@1354017643;class negotiator.group1.Group1@367236165;0.63228;0.47749;0.87572
6;1.049;120;Yes;No;3;0.54815;0.88352;0.03402;0.17067;2.01285;class negotiator.group2.Group2@863117073;class negotiator.group1.Group1@1118367120;class negotiator.group3.Group3@926083421;0.58119;0.88352;0.54815
1;0.748;131;Yes;No;3;0.51476;0.86616;0.04265;0.39908;1.92906;class negotiator.group1.Group1@1056571970;class negotiator.group2.Group2@500373531;class negotiator.group3.Group3@412263004;0.86616;0.51476;0.54815
2;0.785;127;Yes;No;3;0.53699;0.78705;0.09434;0.34757;1.87058;class negotiator.group1.Group1@952817682;class negotiator.group3.Group3@1456219483;class negotiator.group2.Group2@1406856281;0.78705;0.54654;0.53699
3;1.398;129;Yes;No;3;0.51613;0.83022;0.07022;0.16856;1.98080;class negotiator.group3.Group3@1591161916;class negotiator.group1.Group1@817069500;class negotiator.group2.Group2@132276236;0.63446;0.83022;0.51613
4;1.003;123;Yes;No;3;0.58123;0.87808;0.00000;0.29943;2.12796;class negotiator.group3.Group3@56552589;class negotiator.group2.Group2@1691311630;class negotiator.group1.Group1@1329238454;0.58123;0.66865;0.87808
5;1.488;112;Yes;No;3;0.44973;0.93998;0.00000;0.48868;2.02240;class negotiator.group2.Group2@1531734621;class negotiator.group3.Group3@788717373;class negotiator.group1.Group1@824429565;0.63269;0.44973;0.93998
6;1.099;122;Yes;No;3;0.54856;0.89348;0.00000;0.13557;2.09698;class negotiator.group2.Group2@714038094;class negotiator.group1.Group1@313115328;class negotiator.group3.Group3@728435871;0.65493;0.89348;0.54856
1;0.977;108;Yes;No;3;0.54856;0.89350;0.00000;0.30658;2.09695;class negotiator.group1.Group1@70800940;class negotiator.group2.Group2@1413294286;class negotiator.group3.Group3@148791115;0.89350;0.65489;0.54856
